doggo_name,doggo_pic_url,url_source
Boris (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17070/17070927/86420097.jpg,"toolkitFocusPet_0(0, 17070927, 37);return false;"
Zeke (NC),https://cdn.rescuegroups.org/7015/pictures/animals/17088/17088606/83382563.jpg,"toolkitFocusPet_0(0, 17088606, 38);return false;"
Bane (GA),https://cdn.rescuegroups.org/7015/pictures/animals/16066/16066639/75240475.jpg,"toolkitFocusPet_0(0, 16066639, 39);return false;"
Beau (SC),https://cdn.rescuegroups.org/7015/pictures/animals/17261/17261512/89114637.jpg,"toolkitFocusPet_0(0, 17261512, 40);return false;"
Kona (GA),https://cdn.rescuegroups.org/7015/pictures/animals/17261/17261528/82539037.jpg,"toolkitFocusPet_0(0, 17261528, 41);return false;"
Garth Brooks (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17312/17312984/82754325.jpg,"toolkitFocusPet_0(0, 17312984, 42);return false;"
Dolly (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17313/17313068/83623126.jpg,"toolkitFocusPet_0(0, 17313068, 43);return false;"
Bullet (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18341/18341501/97930775.jpg,"toolkitFocusPet_0(0, 18341501, 44);return false;"
Lyon (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17375/17375494/87332315.jpg,"toolkitFocusPet_0(0, 17375494, 45);return false;"
George (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17451/17451594/84062009.jpg,"toolkitFocusPet_0(0, 17451594, 46);return false;"
Fletcher (GA),https://cdn.rescuegroups.org/7015/pictures/animals/17453/17453868/93144378.jpg,"toolkitFocusPet_0(0, 17453868, 47);return false;"
Gideon (GA),https://cdn.rescuegroups.org/7015/pictures/animals/17808/17808831/87003541.jpg,"toolkitFocusPet_0(0, 17808831, 48);return false;"
Sable (SC),https://cdn.rescuegroups.org/7015/pictures/animals/17828/17828881/90120088.jpg,"toolkitFocusPet_0(0, 17828881, 49);return false;"
Lenny (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17879/17879667/93145509.jpg,"toolkitFocusPet_0(0, 17879667, 50);return false;"
Blu (TX),https://cdn.rescuegroups.org/7015/pictures/animals/17917/17917349/92707627.jpg,"toolkitFocusPet_0(0, 17917349, 51);return false;"
Spanky (SC),https://cdn.rescuegroups.org/7015/pictures/animals/17926/17926326/88653927.jpg,"toolkitFocusPet_0(0, 17926326, 52);return false;"
Mabel (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18002/18002377/90443621.jpg,"toolkitFocusPet_0(0, 18002377, 53);return false;"
Gruff (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18069/18069364/90331948.jpg,"toolkitFocusPet_0(0, 18069364, 54);return false;"
Wesley (NY),https://cdn.rescuegroups.org/7015/pictures/animals/18070/18070398/88099722.jpg,"toolkitFocusPet_0(0, 18070398, 55);return false;"
Norbert (SC),https://cdn.rescuegroups.org/7015/pictures/animals/16778/16778307/94134601.jpg,"toolkitFocusPet_0(0, 16778307, 56);return false;"
Talbot (AL),https://cdn.rescuegroups.org/7015/pictures/animals/16826/16826641/85805805.jpg,"toolkitFocusPet_0(0, 16826641, 57);return false;"
Constance (TX),https://cdn.rescuegroups.org/7015/pictures/animals/16868/16868402/81888740.jpg,"toolkitFocusPet_0(0, 16868402, 58);return false;"
Willow,https://cdn.rescuegroups.org/7015/pictures/animals/13873/13873885/76587943.jpg,"toolkitFocusPet_0(0, 13873885, 59);return false;"
Dre,https://cdn.rescuegroups.org/7015/pictures/animals/12382/12382926/58377277.jpg,"toolkitFocusPet_0(0, 12382926, 60);return false;"
Shelly,https://cdn.rescuegroups.org/7015/pictures/animals/12452/12452622/80823543.jpg,"toolkitFocusPet_0(0, 12452622, 61);return false;"
Missy,https://cdn.rescuegroups.org/7015/pictures/animals/13231/13231392/87096593.jpg,"toolkitFocusPet_0(0, 13231392, 62);return false;"
Jack M,https://cdn.rescuegroups.org/7015/pictures/animals/13297/13297211/63503014.jpg,"toolkitFocusPet_0(0, 13297211, 63);return false;"
Cloud,https://cdn.rescuegroups.org/7015/pictures/animals/12734/12734775/87096178.jpg,"toolkitFocusPet_0(0, 12734775, 64);return false;"
Rey,https://cdn.rescuegroups.org/7015/pictures/animals/12747/12747160/88589558.jpg,"toolkitFocusPet_0(0, 12747160, 65);return false;"
Pansie,https://cdn.rescuegroups.org/7015/pictures/animals/11906/11906169/59245914.jpg,"toolkitFocusPet_0(0, 11906169, 66);return false;"
Isabella,https://cdn.rescuegroups.org/7015/pictures/animals/11927/11927605/72563532.jpg,"toolkitFocusPet_0(0, 11927605, 67);return false;"
Nala,https://cdn.rescuegroups.org/7015/pictures/animals/11180/11180996/59097428.jpg,"toolkitFocusPet_0(0, 11180996, 68);return false;"
