state,year,intake_agg_feline,outcome_agg_feline,intake_agg_canine,outcome_agg_canine,intake_agg_total,outcome_agg_total
PR,2021,428,339,1045,914,1473,1253
PR,2022,296,328,703,681,999,1009
PR,2023,341,324,768,697,1109,1021
RI,2021,4183,4138,1866,1848,6049,5986
RI,2022,4623,4742,2095,2143,6718,6885
RI,2023,5222,5468,1940,2029,7162,7497
SC,2021,22783,22499,21111,21086,43894,43585
SC,2022,21962,21112,23053,22572,45015,43684
SC,2023,21378,20196,22979,23569,44357,43765
SD,2021,549,540,514,491,1063,1031
SD,2022,682,676,423,436,1105,1112
SD,2023,584,642,382,385,966,1027
TN,2021,24654,24367,31441,31126,56095,55493
TN,2022,23840,23193,30799,30194,54639,53387
TN,2023,22699,22957,30003,31606,52702,54563
TX,2021,93573,92100,124566,122370,218139,214470
TX,2022,86270,85276,123668,121183,209938,206459
TX,2023,85654,84332,111443,112198,197097,196530
UT,2021,20258,20688,15301,15561,35559,36249
UT,2022,20651,21641,14124,14713,34775,36354
UT,2023,20280,21573,13666,14905,33946,36478
VA,2021,27540,27319,18791,18664,46331,45983
VA,2022,28708,27462,20968,20449,49676,47911
VA,2023,28981,28338,21013,20624,49994,48962
VT,2021,2506,2511,631,594,3137,3105
VT,2022,2188,2214,672,682,2860,2896
VT,2023,2173,2177,762,760,2935,2937
WA,2021,45680,45443,21112,27117,66792,72560
WA,2022,50619,49905,23388,23916,74007,73821
WA,2023,48400,48392,24374,24875,72774,73267
WI,2021,31869,31445,18911,19844,50780,51289
WI,2022,32495,32203,20642,21273,53137,53476
WI,2023,34899,33681,21748,21463,56647,55144
WV,2021,6353,6391,5515,5407,11868,11798
WV,2022,5904,5835,5128,5149,11032,10984
WV,2023,5727,5675,4920,5072,10647,10747
WY,2021,3839,3965,4017,4449,7856,8414
WY,2022,3873,3752,3904,4162,7777,7914
WY,2023,4537,4554,3849,4070,8386,8624
